id;familia;genero;nombre;autor;sinonimos;referencias;taxones_infraespecificos;habito;origen;estado_de_conservacion;especimen_representativo;notas;regiones_biogeograficas;elevacion_minima;elevacion_maxima;departamentos;distribucion_global
1;ACANTHACEAE;Avicennia;Avicennia bicolor;Standl.;Avicennia tonduzii Moldenke;Pool & Rueda 2001;;Árbol;Nativa;No Evaluada;Forero 794 (COL);;Pacífico;0 m;150 m;Chocó, Valle;Colombia a Centroamérica
2;ACANTHACEAE;Avicennia;Avicennia germinans;(L.) L.;Avicennia germinans var. guayaquilensis (Kunth) Moldenke, Avicennia nitida Jacq.;Pool & Rueda 2001, Aymard 2005;;Arbusto, Arbolito, Árbol;Nativa;Preocupación Menor;Lozano 2722 (COL);;Llanura del Caribe, Pacífico;0 m;100 m;Antioquia, Atlántico, Bolívar, Chocó, La Guajira, Magdalena, Nariño, San Andrés, Providencia y Santa Catalina, Sucre, Valle;"S Estados Unidos a Colombia, Venezuela, Guayanas, Ecuador, Perú, Brasil; Antillas, África"
3;ACANTHACEAE;Bravaisia;Bravaisia integerrima;(Spreng.) Standl.;;Leonard 1951;;Árbol;Nativa;No Evaluada;Romero-Castañeda 980 (COL);Tipo de Colombia;Llanura del Caribe;0 m;200 m;Atlántico, Bolívar, Magdalena, Sucre;México a Perú
4;ACANTHACEAE;Trichanthera;Trichanthera corymbosa;Leonard;;Leonard 1951, Leonard 1958;;Árbol;Nativa;No Evaluada;"Killip 20140 (HT: US; IT: GH, NY)";Tipo de Colombia;Andes;1400 m;2100 m;Cesar, Norte de Santander, Santander;Colombia, Venezuela
5;ACANTHACEAE;Trichanthera;Trichanthera gigantea;(Humb. & Bonpl.) Nees;;Leonard 1951;;Arbolito, Árbol;Nativa;Preocupación Menor;Lozano 5641 (COL);Tipo de Colombia;Amazonia, Andes, Pacífico;0 m;2000 m;Antioquia, Bolívar, Boyacá, Caldas, Caquetá, Cauca, Chocó, Cundinamarca, Huila, Meta, Nariño, Norte de Santander, Putumayo, Quindío, Risaralda, Santander, Tolima, Valle;Costa Rica a Colombia Y Venezuela
6;ACHARIACEAE;Carpotroche;Carpotroche grandiflora;Eichler;;Sleumer 1980;;Arbusto, Arbolito, Árbol;Nativa;No Evaluada;Schultes 9357 (COL, GH, IAN, K, US);;Amazonia, Guayana y Serranía de La Macarena;150 m;300 m;Guainía, Vaupés;Colombia, Venezuela, Brasil
7;ACHARIACEAE;Carpotroche;Carpotroche longifolia;(Poepp.) Benth.;Mayna linguifolia R.E.Schult., Mayna longifolia Poepp., Mayna muricida R.E.Schult.;Sleumer 1980;;Arbusto, Arbolito, Árbol;Nativa;No Evaluada;Schultes 5378 (COL, GH, MO, US);;Amazonia, Llanura del Caribe, Orinoquia, Pacífico;0 m;1200 m;Amazonas, Antioquia, Caquetá, Chocó, Putumayo, Vaupés;Panamá, Suramérica
8;ACHARIACEAE;Carpotroche;Carpotroche pacifica;(Cuatrec.) Cuatrec.;Mayna pacifica Cuatrec.;Sleumer 1980;;Arbusto, Arbolito, Árbol;Nativa;No Evaluada;"Cuatrecasas 14187 (HT: COL; IT: F, L)";Tipo de Colombia;Amazonia, Pacífico;0 m;350 m;Amazonas, Cauca, Chocó, Valle;Colombia, Perú
9;ACHARIACEAE;Carpotroche;Carpotroche ramosii;(Cuatrec.) Cuatrec.;Mayna ramosii Cuatrec.;Sleumer 1980;;Arbolito, Árbol;Nativa;No Evaluada;"Cuatrecasas 14206 (HT: COL; IT: F, L)";Tipo de Colombia;Pacífico;5 m;50 m;Cauca, Nariño;Colombia, Ecuador
10;ACHARIACEAE;Hydnocarpus;Hydnocarpus anthelminthicus;Laness.;;Lescot 1970;;Arbusto, Arbolito, Árbol;Cultivada;No Evaluada;Pérez 2103 (COL);;Valle del Magdalena;350 m;350 m;Cundinamarca;Tailandia, Camboya, Vietnam
11;ACHARIACEAE;Lindackeria;Lindackeria laurina;C.Presl;Lindackeria nitida Killip & R.E.Schult.;Sleumer 1980;;Arbolito, Árbol;Nativa;No Evaluada;Haught 1917 (COL, GH, LIL, MICH, US);;Amazonia, Llanura del Caribe, Orinoquia, Pacífico, Valle del Cauca, Valle del Magdalena;0 m;1000 m;Amazonas, Antioquia, Bolívar, Boyacá, Caquetá, Chocó, Córdoba, Magdalena, Meta, Santander;México a Colombia y Venezuela
12;ACHARIACEAE;Lindackeria;Lindackeria paludosa;(Benth.) Gilg;;Sleumer 1980;;Arbusto, Arbolito, Árbol;Nativa;No Evaluada;Little 8253 (COL, US);;Amazonia, Guayana y Serranía de La Macarena, Orinoquia;100 m;500 m;Amazonas, Caquetá, Guaviare, Meta, Putumayo, Vaupés, Vichada;Amazonia
13;ACHARIACEAE;Mayna;Mayna grandifolia;(H.Karst.) Warb.;Dendrostylis grandifolia H.Karst.;Sleumer 1980;;Arbusto, Arbolito, Árbol;Nativa;No Evaluada;"Karsten s.n. (HT: LE; IT: M, W)";;Amazonia, Guayana y Serranía de La Macarena, Llanura del Caribe, Pacífico, Valle del Magdalena;0 m;1950 m;Amazonas, Antioquia, Atlántico, Bolívar, Chocó, Córdoba, Huila, Magdalena, Putumayo, Santander, Sucre;Panamá a Brasil
14;ACHARIACEAE;Mayna;Mayna odorata;Aubl.;Mayna glomerata Killip & R.E.Schult.;Sleumer 1980;;Arbusto, Arbolito, Árbol;Nativa;No Evaluada;Idrobo 2159 (COL, MO);;Amazonia, Guayana y Serranía de La Macarena, Llanura del Caribe, Orinoquia, Pacífico, Valle del Magdalena;0 m;1550 m;Amazonas, Antioquia, Caquetá, Chocó, Cundinamarca, Magdalena, Meta, Putumayo, Santander, Vaupés, Vichada;Honduras a Brasil y Bolivia
15;ACHARIACEAE;Mayna;Mayna suaveolens;(Triana & H.Karst.) Warb.;Dendrostylis suaveolens Triana & H.Karst.;Sleumer 1980;;Árbol;Nativa;En Peligro;"Karsten s.n. (HLT: LE; ILT: B, GOET, W)";Tipo de Colombia;Pacífico, Valle del Magdalena;300 m;1000 m;Antioquia, Chocó, Cundinamarca, Tolima;
16;ACHATOCARPACEAE;Achatocarpus;Achatocarpus nigricans;Triana;;Todzia 2001c;;Arbusto, Árbol;Nativa;No Evaluada;Lozano 2700 (COL);;Islas Caribeñas, Llanura del Caribe, Valle del Cauca, Valle del Magdalena;10 m;1300 m;Antioquia, Atlántico, Bolívar, Cundinamarca, La Guajira, Huila, Magdalena, San Andrés, Providencia y Santa Catalina, Sucre, Tolima, Valle;S México a Bolivia
17;ACTINIDIACEAE;Saurauia;Saurauia alloplectifolia;Soejarto;;Soejarto 1988;;Árbol;Nativa;No Evaluada;"Forero 6047 (HT: COL; IT: COL, MO)";Conocida solo del tipo;Andes;520 m;620 m;Chocó;
18;ACTINIDIACEAE;Saurauia;Saurauia arnoldii;Sleumer;;Soejarto 1980;;Árbol;Nativa;No Evaluada;"Kernan 125 (NT: NY; INT: P, US)";Tipo de Colombia;Andes, Sierra Nevada de Santa Marta;1090 m;2400 m;Antioquia, Cundinamarca, Magdalena;
19;ACTINIDIACEAE;Saurauia;Saurauia aromatica;R.E.Schult.;Saurauia alvaroi R.E.Schult., Saurauia echinosepala R.E.Schult.;Soejarto 1980;;Árbol;Nativa;No Evaluada;Cuatrecasas 9105 (LT: F, ILT: US);Tipo de Colombia;Andes;500 m;2600 m;Caldas, Caquetá, Cauca, Huila, Putumayo, Valle;
20;ACTINIDIACEAE;Saurauia;Saurauia brachybotrys;Turcz.;Saurauia brachybotrys var. macrantha Buscal., Saurauia peduncularis var. veraniana Buscal.;Soejarto 1980, Rangel-Ch. 2000;;Arbusto, Arbolito, Árbol;Nativa;No Evaluada;"Linden 972 (HT: MB; IT: F, G, K, P)";Tipo de Colombia;Andes;671 m;2500 m;Antioquia, Caldas, Cauca, Chocó, Huila, Nariño, Putumayo, Quindío, Risaralda, Tolima, Valle;Venezuela a Ecuador
21;ACTINIDIACEAE;Saurauia;Saurauia bullosa;Wawra;Saurauia garcia-barrigae R.E.Schult.;Soejarto 1980, Rangel-Ch. 2000;;Árbol;Nativa;No Evaluada;Idrobo 3486 (COL, NY);;Andes;2200 m;3600 m;Antioquia, Caldas, Cauca, Cundinamarca, Huila, Nariño, Putumayo, Quindío, Santander, Tolima, Valle;Colombia, Ecuador, Perú
22;ACTINIDIACEAE;Saurauia;Saurauia chiliantha;R.E.Schult.;Saurauia kallima R.E.Schult.;Soejarto 1980;;Arbusto, Arbolito, Árbol;Nativa;No Evaluada;"Dugand 2988 (HT: COL; IT: GH, US)";Tipo de Colombia;Andes;1300 m;2900 m;Antioquia, Caldas, Cauca, Chocó, Quindío, Risaralda, Tolima, Valle;
23;ACTINIDIACEAE;Saurauia;Saurauia chocoensis;Soejarto;;Soejarto 1988;;Arbusto, Árbol;Nativa;No Evaluada;"White 70 (HT: F; IT: MO)";Tipo de Colombia;Andes, Pacífico;50 m;1670 m;Antioquia, Chocó;
24;ACTINIDIACEAE;Saurauia;Saurauia choriophylla;R.E.Schult. & Gut.;;Soejarto 1980;;Árbol;Nativa;No Evaluada;"Toro 845 (HT: MEDEL; IT: NY)";Tipo de Colombia;Andes;1300 m;3550 m;Antioquia, Boyacá, Caldas, La Guajira, Huila, Risaralda, Tolima, Valle;
25;ACTINIDIACEAE;Saurauia;Saurauia cuatrecasasiana;R.E.Schult.;;Soejarto 1980;;Árbol;Nativa;No Evaluada;"Cuatrecasas 9209 (HT: COL; IT: F, US)";Tipo de Colombia;Andes;1200 m;3150 m;Antioquia, Caldas, Cauca, Chocó, Huila, Quindío, Risaralda, Tolima, Valle;
26;ACTINIDIACEAE;Saurauia;Saurauia floccifera;Triana & Planch.;;Soejarto 1980;;Árbol;Nativa;No Evaluada;"Triana s.n. (LT: G; ILT: F, K, P, US)";Tipo de Colombia;Andes, Pacífico;100 m;2350 m;Antioquia, Boyacá, Caquetá, Chocó, Cundinamarca, Meta, Norte de Santander;Colombia, Venezuela
27;ACTINIDIACEAE;Saurauia;Saurauia laevigata;Triana & Planch.;;Soejarto 1980;;Árbol;Nativa;No Evaluada;"Triana s.n. (LT: G; ILT: P)";Tipo de Colombia;Andes, Valle del Magdalena;600 m;1900 m;Antioquia, Cundinamarca, Tolima;
28;ACTINIDIACEAE;Saurauia;Saurauia lehmannii;Hieron.;;;;Árbol;Nativa;Casi Amenazada;Callejas 8181 (HUA, NY);;Andes;1650 m;1810 m;Antioquia;Colombia, Ecuador, Perú
29;ACTINIDIACEAE;Saurauia;Saurauia micayensis;Killip;Saurauia rigidissima R.E.Schult.;Soejarto 1980;;Arbusto, Árbol;Nativa;No Evaluada;Killip 7932 (LT: US);Tipo de Colombia;Andes;1240 m;2880 m;Antioquia, Cauca, Nariño, Valle;
30;ACTINIDIACEAE;Saurauia;Saurauia oroquensis;Soejarto;;Soejarto 1989, Rangel-Ch. 2000;;Árbol;Nativa;No Evaluada;"Barclay 3734 (HT: US; IT: COL)";Tipo de Colombia;Andes;2600 m;2600 m;Norte de Santander;Cordillera Oriental
31;ACTINIDIACEAE;Saurauia;Saurauia parviflora;Triana & Planch.;Saurauia parviflora f. lehmanniana Buscal.;Soejarto 1980;;Arbusto, Arbolito, Árbol;Nativa;No Evaluada;Triana s.n. (HT: BM);Tipo de Colombia;Andes, Valle del Cauca;550 m;2275 m;Antioquia, Cauca, Nariño, Valle;
32;ACTINIDIACEAE;Saurauia;Saurauia peduncularis;Triana & Planch.;;Soejarto 1980;;Arbusto, Árbol;Nativa;No Evaluada;Soejarto 937 (COL, NY);Tipo de Colombia;Andes;1000 m;2400 m;Nariño, Valle;Colombia, Ecuador, Bolivia
33;ACTINIDIACEAE;Saurauia;Saurauia prainiana;Buscal.;;;;Arbusto, Arbolito, Árbol;Nativa;No Evaluada;Luteyn 13213 (COL, NY);;Andes;1000 m;2100 m;Antioquia, Valle;Colombia, Ecuador, Perú
34;ACTINIDIACEAE;Saurauia;Saurauia pseudoleucocarpa;Buscal.;;Soejarto 1980;;Arbusto, Árbol;Nativa;No Evaluada;"Lehmann BT-1173 (LT: G; ILT: F, K, NY)";Tipo de Colombia;Andes, Pacífico;0 m;830 m;Cauca, Chocó, Valle;Colombia, Ecuador, Bolivia
35;ACTINIDIACEAE;Saurauia;Saurauia pulchra;Sprague;;Soejarto 1980;;Arbolito, Árbol;Nativa;No Evaluada;Little 7540 (COL, NY);Tipo de Colombia;Andes;1300 m;2300 m;Cauca, Huila;
