id;familia;genero;nombre;autor;sinonimos;referencias;taxones_infraespecificos;habito;origen;estado_de_conservacion;especimen_representativo;notas;regiones_biogeograficas;elevacion_minima;elevacion_maxima;departamentos;distribucion_global
36;ACTINIDIACEAE;Saurauia;Saurauia scabra;(Kunth) D.Dietr.;Palaua scabra Kunth, Saurauia humboldtiana Buscal., Saurauia narcissifragrans R.E.Schult., Saurauia prainiana var. humboldtiana Buscal.;Soejarto 1980;;Árbol;Nativa;No Evaluada;"Bonpland s.n. (LT: P; ILT: F)";Tipo de Colombia;Andes;1400 m;2800 m;Boyacá, Caldas, Caquetá, Cauca, Cundinamarca, Huila, Meta, Risaralda, Santander, Tolima;Colombia, Venezuela
37;ACTINIDIACEAE;Saurauia;Saurauia schultesiana;Soejarto;;Soejarto 1980;;Árbol;Nativa;No Evaluada;Pennell 10501 (HT: NY);Conocida solo del tipo;Andes;3200 m;3400 m;Risaralda;Cordillera Occidental
38;ACTINIDIACEAE;Saurauia;Saurauia stapfiana;Buscal.;;Soejarto 1980;Saurauia stapfiana var. radiata Soejarto, Saurauia stapfiana var. stapfiana ;Arbusto, Arbolito, Árbol;Nativa;No Evaluada;"Triana 267 (LT: P; ILT: G, K)";Tipo de Colombia;Andes;900 m;3300 m;Antioquia, Boyacá, Cauca, Chocó, Nariño, Norte de Santander, Putumayo, Tolima, Valle;
39;ACTINIDIACEAE;Saurauia;Saurauia strigillosa;Triana & Planch.;Saurauia floribunda var. laevigata Buscal., Saurauia strigillosa var. microphylla Buscal.;Soejarto 1980;;Arbusto, Árbol;Nativa;No Evaluada;"Triana s.n. (LT: G; ILT: F, P)";Tipo de Colombia;Andes;1500 m;2800 m;Antioquia, Caquetá, Quindío, Tolima;
40;ACTINIDIACEAE;Saurauia;Saurauia tomentosa;(Kunth) Spreng.;Saurauia pruinosa R.E.Schult.;Soejarto 1980;;Árbol;Nativa;No Evaluada;Soejarto 1053 (COL, NY);;Andes;1200 m;3200 m;Cauca, Huila, Nariño, Norte de Santander, Putumayo, Santander, Valle;Venezuela a Ecuador
41;ACTINIDIACEAE;Saurauia;Saurauia ursina;Triana & Planch.;;Soejarto 1980;;Arbusto, Arbolito, Árbol;Nativa;No Evaluada;"Triana s.n. (LT: K; ILT: F, G, P)";Tipo de Colombia;Andes;700 m;2700 m;Antioquia, Cundinamarca, Risaralda, Santander;Venezuela a Ecuador
42;ACTINIDIACEAE;Saurauia;Saurauia yasicae;Loes.;Saurauia herbert-smithii Rusby, Saurauia smithiana Buscal.;Soejarto 1980;;Árbol;Nativa;No Evaluada;Little 7370 (COL, NY);;Andes, Llanura del Caribe, Pacífico, Sierra Nevada de Santa Marta, Valle del Magdalena;0 m;2000 m;Antioquia, Chocó, Cundinamarca, La Guajira, Magdalena, Tolima;México a Colombia y Venezuela
43;ADOXACEAE;Viburnum;Viburnum antioquiense;Killip & A.C.Sm.;;Killip & Smith 1930;;Arbusto, Árbol, Trepadora;Nativa;No Evaluada;"Archer 568 (HT: US; IT: NY)";Tipo de Colombia;Andes;1700 m;3200 m;Antioquia, Cundinamarca, Quindío;
44;ADOXACEAE;Viburnum;Viburnum axillare;Triana;;Idárraga et al. 2011;;Subarbusto, Árbol;Nativa;No Evaluada;Triana 1878 (HT: P);Tipo de Colombia;Andes;2000 m;3000 m;Antioquia;
45;ADOXACEAE;Viburnum;Viburnum glabratum;Kunth;;Killip & Smith 1929, Killip & Smith 1930;;Árbol;Nativa;No Evaluada;Bonpland s.n. (T: P);Tipo de Colombia;Andes;1000 m;1700 m;Cundinamarca, Huila, Tolima;Colombia, Venezuela
46;ADOXACEAE;Viburnum;Viburnum goudotii;Killip & A.C.Sm.;;Killip & Smith 1930;;Árbol;Nativa;No Evaluada;Goudot 2 (T: K);Tipo de Colombia;Andes;2600 m;3100 m;Cundinamarca;Colombia, Ecuador
47;ADOXACEAE;Viburnum;Viburnum hallii;(Oerst.) Killip & A.C.Sm.;Viburnum apiculatum Killip & A.C.Sm.;Killip & Smith 1930;;Arbusto, Árbol, Trepadora;Nativa;No Evaluada;Betancur 7076 (COL, MO);;Andes, Sierra Nevada de Santa Marta;1300 m;3500 m;Antioquia, Boyacá, Cauca, Cesar, Cundinamarca, Huila, Magdalena, Nariño, Risaralda, Santander, Valle;Colombia a Bolivia
48;ADOXACEAE;Viburnum;Viburnum lehmannii;Killip & A.C.Sm.;;Killip & Smith 1929, Killip & Smith 1930;;Arbusto, Árbol;Nativa;No Evaluada;"Lehmann BT671 (HT: NY; IT: F)";Tipo de Colombia;Andes;1500 m;2800 m;Cauca, Huila;
49;ADOXACEAE;Viburnum;Viburnum subsessile;Killip & A.C.Sm.;;Killip & Smith 1930;;Árbol;Nativa;No Evaluada;Kalbreyer 533 (HT: K);Conocida solo del tipo;Andes;1800 m;1800 m;Norte de Santander;Cordillera Oriental
50;ADOXACEAE;Viburnum;Viburnum suratense;Killip & A.C.Sm.;;Killip & Smith 1929, Killip & Smith 1930;;Árbol;Nativa;No Evaluada;"Killip 16743 (HT: NY; IT: A, GH, US)";Tipo de Colombia;Andes;2000 m;3200 m;Cundinamarca, Santander;Cordillera Oriental
51;ADOXACEAE;Viburnum;Viburnum tinoides;L.f.;Viburnum leptophyllum Killip & A.C.Sm.;Killip & Smith 1929, Killip & Smith 1930, Rangel-Ch. 2000;Viburnum tinoides var. venezuelense (Killip & A.C.Sm.) Steyerm.;Arbusto, Arbolito, Árbol, Trepadora;Nativa;No Evaluada;Fernández 12115 (COL);;Andes;920 m;3724 m;Antioquia, Boyacá, Cundinamarca, La Guajira, Nariño, Quindío, Risaralda, Santander, Valle;Colombia, Venezuela
52;ADOXACEAE;Viburnum;Viburnum toronis;Killip & A.C.Sm.;Viburnum cornifolium Killip & A.C.Sm.;Killip & Smith 1929, Killip & Smith 1930, Vargas-López 2002;;Arbusto, Arbolito, Árbol;Nativa;No Evaluada;"Toro 424 (HT: NY; IT: MEDEL)";Tipo de Colombia;Andes;1100 m;3650 m;Antioquia, Boyacá, Caldas, Cundinamarca, Huila, Magdalena, Nariño, Quindío, Risaralda, Santander, Valle;Colombia, Ecuador
53;ADOXACEAE;Viburnum;Viburnum triphyllum;Benth.;;Killip & Smith 1929, Killip & Smith 1930, Rangel-Ch. 2000;Viburnum triphyllum f. macrophyllum (Oerst.) Killip & A.C.Sm., Viburnum triphyllum f. triphyllum ;Arbusto, Arbolito, Árbol;Nativa;No Evaluada;Hartweg 1040 (HT: NY);Tipo de Colombia;Andes;1700 m;3200 m;Antioquia, Boyacá, Cauca, Cundinamarca, La Guajira, Nariño, Risaralda, Santander, Valle;Venezuela a Bolivia
54;ADOXACEAE;Viburnum;Viburnum undulatum;(Oerst.) Killip & A.C.Sm.;;Killip & Smith 1930;;Arbusto, Arbolito, Árbol, Liana;Nativa;No Evaluada;Linden 1128 (T: K);Tipo de Colombia;Andes;2050 m;3450 m;Antioquia, Quindío, Valle;Colombia, Venezuela
55;ALTINGIACEAE;Liquidambar;Liquidambar styraciflua;L.;;;;Árbol;Cultivada;No Evaluada;;;Andes;2600 m;2600 m;Cundinamarca;Nativo de SE Estados Unidos, cultivado en Bogotá
56;ALZATEACEAE;Alzatea;Alzatea verticillata;Ruiz & Pav.;;Graham 1984, Silverstone-Sopkin & Graham 1986, Graham 1995;Alzatea verticillata subsp. amplifolia S.A.Graham;Arbusto, Árbol;Nativa;No Evaluada;Alzate 1279 (HUA, MO);;Andes;1750 m;2300 m;Antioquia, Chocó, Quindío, Santander;Costa Rica a Ecuador, Perú y Bolivia
57;ANACARDIACEAE;Anacardium;Anacardium excelsum;(Kunth) Skeels;Anacardium rhinocarpus DC., Rhinocarpus excelsa Kunth;Barfod 1987, Mitchell & Mori 1987;;Árbol;Nativa;Casi Amenazada;Arias 626 (MO);Tipo de Colombia;Llanura del Caribe, Orinoquia, Pacífico, Sierra Nevada de Santa Marta, Valle del Cauca, Valle del Magdalena;0 m;1100 m;Antioquia, Atlántico, Bolívar, Boyacá, Caldas, Cesar, Chocó, Cundinamarca, La Guajira, Huila, Magdalena, Quindío, Santander, Tolima, Valle;"Honduras a Ecuador; Venezuela"
58;ANACARDIACEAE;Anacardium;Anacardium giganteum;Engl.;;Mitchell & Mori 1987;;Árbol;Nativa;No Evaluada;Shultes 10166 (MO, NY);;Amazonia, Guayana y Serranía de La Macarena, Pacífico;200 m;200 m;Amazonas, Caquetá, Guainía, Santander, Valle;Colombia, Venezuela, Brasil, Perú, Bolivia
59;ANACARDIACEAE;Anacardium;Anacardium negrense;Pires & Fróes;;Pires & Fróes 1948;;Árbol;Nativa;No Evaluada;Arévalo 85 (COL, NY);;Amazonia;100 m;200 m;Amazonas, Caquetá;Colombia, Brasil, Perú
60;ANACARDIACEAE;Anacardium;Anacardium occidentale;L.;;Barfod 1987, Mitchell & Mori 1987;;Arbolito, Árbol;Naturalizada y adventicia;No Evaluada;Betancur 2825 (MO);;Amazonia, Guayana y Serranía de La Macarena, Islas Caribeñas, Llanura del Caribe, Orinoquia, Pacífico, Sierra Nevada de Santa Marta, Valle del Cauca, Valle del Magdalena;0 m;900 m;Amazonas, Antioquia, Bolívar, Caldas, Caquetá, Casanare, Guainía, Guaviare, Huila, Magdalena, Meta, Norte de Santander, Putumayo, San Andrés, Providencia y Santa Catalina, Santander, Tolima, Valle, Vaupés;"Neotrópico; cultivada"
61;ANACARDIACEAE;Anacardium;Anacardium parvifolium;Ducke;Anacardium tenuifolium Ducke;Mitchell 1992;;Árbol;Nativa;No Evaluada;Sánchez 598 (NY);;Amazonia;200 m;600 m;Amazonas, Putumayo;Colombia, Perú, Brasil
62;ANACARDIACEAE;Antrocaryon;Antrocaryon amazonicum;(Ducke) B.L.Burtt & A.W.Hill;Poupartia amazonica Ducke;Hill 1933;;Árbol;Nativa;No Evaluada;Stevenson 508 (MO);;Guayana y Serranía de La Macarena;150 m;150 m;Meta;Colombia, Brasil, Perú
63;ANACARDIACEAE;Astronium;Astronium fraxinifolium;Schott;;Mitchell 1997;Astronium fraxinifolium f. glaberrimum Mattick;Árbol;Nativa;No Evaluada;Haught 4032 (NY);;Llanura del Caribe;5 m;500 m;Bolívar, Cesar, La Guajira, Magdalena;Brasil, Bolivia, Perú, Argentina, Paraguay, Surinam
64;ANACARDIACEAE;Astronium;Astronium graveolens;Jacq.;Astronium gracile Engl.;Barfod 1987;;Árbol;Nativa;No Evaluada;Marulanda 2207 (NY);;Llanura del Caribe, Orinoquia, Pacífico;5 m;1000 m;Bolívar, Casanare, Chocó, La Guajira, Magdalena, Sucre;México a Paraguay y Argentina
65;ANACARDIACEAE;Astronium;Astronium lecointei;Ducke;;;;Árbol;Nativa;No Evaluada;;;;;;Desconocido;
66;ANACARDIACEAE;Astronium;Astronium obliquum;Griseb.;;;;Árbol;Nativa;No Evaluada;Correa 2822 (COAH);;Amazonia, Orinoquia;350 m;750 m;Caquetá, Casanare, Vaupés;N Suramérica
67;ANACARDIACEAE;Campnosperma;Campnosperma gummiferum;(Benth.) Marchand;Cyrtospermum gummiferum Benth., Drepanospermum gummiferum (Benth.) Benth.;Mitchell 1995;;Árbol;Nativa;No Evaluada;Sánchez 28 (COAH, MO);;Amazonia, Guayana y Serranía de La Macarena;300 m;500 m;Amazonas, Guainía;Colombia, Brasil, Venezuela
68;ANACARDIACEAE;Campnosperma;Campnosperma panamense;Standl.;;Barfod 1987, Mitchell 2001;;Árbol;Nativa;Casi Amenazada;Romero-Castañeda 5101 (MO);;Pacífico;5 m;100 m;Cauca, Chocó, Nariño, Valle;Nicaragua a Ecuador
69;ANACARDIACEAE;Cyrtocarpa;Cyrtocarpa velutinifolia;(R.S.Cowan) J.D.Mitch. & Daly;Bursera velutinifolia R.S.Cowan, Loxopterygium gutierrezii F.A.Barkley;Mitchell & Daly 1991;;Árbol;Nativa;No Evaluada;Smith 911 (LL, NY);;Sierra Nevada de Santa Marta;;;Magdalena;"Colombia, Venezuela, Guyana, N Brasil; Antillas Holandesas"
70;ANACARDIACEAE;Mangifera;Mangifera indica;L.;;Barfod 1987;;Árbol;Cultivada;No Evaluada;Forero 1590 (MO);;Amazonia, Andes, Islas Caribeñas, Llanura del Caribe, Pacífico, Valle del Magdalena;0 m;2850 m;Amazonas, Antioquia, Arauca, Atlántico, Bolívar, Boyacá, Caldas, Caquetá, Casanare, Cauca, Cesar, Chocó, Córdoba, Cundinamarca, Guainía, La Guajira, Guaviare, Huila, Magdalena, Meta, Nariño, Norte de Santander, Putumayo, Quindío, Risaralda, San Andrés, Providencia y Santa Catalina, Santander, Sucre, Tolima, Valle, Vaupés, Vichada;"Nativa de S Asia; cultivada en el trópico y subtrópico del Nuevo y Viejo Mundo"
71;ANACARDIACEAE;Mauria;Mauria cuatrecasasii;F.A.Barkley;;Barkley 1947a;;Árbol;Nativa;No Evaluada;"Cuatrecasas 8062 (T: US; HT: F)";Tipo de Colombia;Valle del Magdalena;200 m;200 m;Cundinamarca;
72;ANACARDIACEAE;Mauria;Mauria ferruginea;Tul.;;Tulasne 1846;Mauria ferruginea subsp. ferruginea ;Árbol;Nativa;No Evaluada;Alzate 882 (MO);Tipo de Colombia;Andes;500 m;2415 m;Antioquia, Caldas, Caquetá, Quindío, Valle;Colombia, Perú
73;ANACARDIACEAE;Mauria;Mauria heterophylla;Kunth;Mauria biringo Tul., Mauria biringo var. granatensis Engl., Mauria dugandii F.A.Barkley, Mauria ovalifolia Turcz., Mauria puberula Tul., Mauria suaveolens Poepp. & Endl.;Barfod 1987;;Arbusto, Árbol;Nativa;No Evaluada;Castroviejo 10635 (MO);;Andes, Guayana y Serranía de La Macarena, Llanura del Caribe, Pacífico, Sierra Nevada de Santa Marta, Valle del Cauca, Valle del Magdalena;325 m;3300 m;Antioquia, Boyacá, Cauca, Cesar, Cundinamarca, La Guajira, Huila, Magdalena, Norte de Santander, Putumayo, Risaralda, Santander, Tolima, Valle;"El Salvador a Bolivia; Venezuela"
74;ANACARDIACEAE;Mauria;Mauria obtusifolia;(Engl.) F.A.Barkley;;Barkley 1947a;Mauria obtusifolia subsp. obtusifolia ;Árbol;Nativa;No Evaluada;Rentería 2775 (MO);Tipo de Colombia;Andes;1400 m;3200 m;Cundinamarca;
75;ANACARDIACEAE;Mauria;Mauria simplicifolia;Kunth;Duvaua pleuropogon Turcz., Sorindeia simplicifolia (Kunth) Marchand;Barfod 1987;;Árbol;Nativa;No Evaluada;Devia 2039 (MO);;Andes;2000 m;3200 m;Antioquia, Boyacá, Cauca, Cundinamarca, Huila, Nariño, Quindío, Tolima, Valle;Colombia, Venezuela, Perú
76;ANACARDIACEAE;Metopium;Metopium brownei;(Jacq.) Urb.;;Bornstein 1989;;Árbol;Nativa;No Evaluada;Gentry 79694 (MO);;Islas Caribeñas;220 m;220 m;San Andrés, Providencia y Santa Catalina;México (Yucatán), Belice, Honduras, Jamaica, Cuba, La Española, Antillas Holandesas
77;ANACARDIACEAE;Mosquitoxylum;Mosquitoxylum jamaicense;Krug & Urb.;;Barfod 1987;Mosquitoxylum jamaicense var. panamense F.A.Barkley & M.J.Reed;Árbol;Nativa;No Evaluada;;Esperada;;;;Desconocido;México a Ecuador
