id;familia;genero;nombre;autor;sinonimos;referencias;taxones_infraespecificos;habito;origen;estado_de_conservacion;especimen_representativo;notas;regiones_biogeograficas;elevacion_minima;elevacion_maxima;departamentos;distribucion_global
11;ACANTHACEAE;Mendoncia;Mendoncia gilva;Leonard;;Leonard 1951;;Trepadora, Liana;Nativa;No Evaluada;Haught 1799 (HT: US);Conocida solo del tipo;Valle del Magdalena;100 m;700 m;Santander;
12;ACANTHACEAE;Mendoncia;Mendoncia gracilis;Turrill;;Turrill 1919, Leonard 1951, Leonard 1958;;Trepadora;Nativa;No Evaluada;Lehmann 8792 (HT: K);Tipo de Colombia;Andes;300 m;2080 m;Antioquia, Chocó, Cundinamarca, Quindío, Tolima, Valle;
13;ACANTHACEAE;Mendoncia;Mendoncia hoffmannseggiana;Nees;;;;Trepadora;Nativa;No Evaluada;Zarucchi 1996 (?);;Amazonia, Guayana y Serranía de La Macarena;150 m;150 m;Vaupés;Colombia a Perú
14;ACANTHACEAE;Mendoncia;Mendoncia lindavii;Rusby;;Turrill 1919, Leonard 1951;;Trepadora, Liana;Nativa;No Evaluada;Callejas 4635 (HUA, MO);;Andes, Guayana y Serranía de La Macarena, Orinoquia, Pacífico, Valle del Magdalena;0 m;1760 m;Amazonas, Antioquia, Bolívar, Boyacá, Cauca, Chocó, Córdoba, Cundinamarca, Guaviare, Meta, Nariño, Putumayo, Santander;Guatemala a Bolivia
15;ACANTHACEAE;Mendoncia;Mendoncia mirabilis;Leonard;;Leonard 1951;;Trepadora;Nativa;No Evaluada;"Haught 4922 (HT: US; IT: COL, US)";Tipo de Colombia;Pacífico, Valle del Magdalena;50 m;330 m;Antioquia, Chocó;
16;ACANTHACEAE;Mendoncia;Mendoncia obovata;Lindau;;;;Trepadora;Nativa;No Evaluada;López 841 (COAH, MO);;Amazonia;221 m;221 m;Guaviare;Venezuela, Brasil, Colombia
17;ACANTHACEAE;Mendoncia;Mendoncia orbicularis;Turrill;;;;Trepadora, Liana;Nativa;No Evaluada;Gentry 76095 (MO);;Andes;960 m;1850 m;Antioquia, Nariño;Colombia, Ecuador
18;ACANTHACEAE;Mendoncia;Mendoncia pedunculata;Leonard;;Leonard 1951, Leonard 1958;;Trepadora, Liana;Nativa;No Evaluada;Gutiérrez 789 (COL, GH, MEDEL);;Amazonia;100 m;350 m;Amazonas, Guaviare, Putumayo, Vaupés;Colombia, Perú, Bolivia
19;ACANTHACEAE;Mendoncia;Mendoncia pennellii;Leonard;;Leonard 1951;;Trepadora, Liana;Nativa;No Evaluada;"Pennell 10601 (HT: GH; IT: NY)";Tipo de Colombia;Andes, Pacífico;50 m;1550 m;Antioquia, Boyacá, Caldas, Nariño, Valle;
20;ACANTHACEAE;Mendoncia;Mendoncia phalacra;Leonard;;Leonard 1958;;Trepadora;Nativa;No Evaluada;"García-Barriga 14403 (HT: US; IT: COL)";Conocida solo del tipo;Amazonia;250 m;250 m;Vaupés;
21;ACANTHACEAE;Mendoncia;Mendoncia pilosa;Mart.;;Leonard 1951;;Trepadora;Nativa;No Evaluada;Cuatrecasas 9064 (US);;Amazonia, Andes;200 m;1300 m;Caquetá, Meta, Vaupés;
22;ACANTHACEAE;Mendoncia;Mendoncia retusa;Turrill;;;;Trepadora;Nativa;No Evaluada;Gentry 15222 (COL, MO);;Andes, Pacífico;0 m;600 m;Antioquia, Chocó;Nicaragua a Colombia
23;ACANTHACEAE;Mendoncia;Mendoncia tetragona;Leonard;;Leonard 1961;;Trepadora;Nativa;No Evaluada;Espina 3779 (MO);Tipo de Colombia;Pacífico;0 m;100 m;Chocó;
24;ACANTHACEAE;Mendoncia;Mendoncia zarucchii;Wassh.;;Wasshausen 1989b;;Trepadora, Liana;Nativa;No Evaluada;"Zarucchi 1736 (HT: US; IT: COL)";Tipo de Colombia;Amazonia, Guayana y Serranía de La Macarena;180 m;180 m;Vaupés;
25;ACANTHACEAE;Pseuderanthemum;Pseuderanthemum chilianthium;Leonard;;Leonard 1958;;Arbusto, Arbolito, Trepadora;Nativa;No Evaluada;"Killip 35270 (HT: US; IT: COL)";Tipo de Colombia;Andes, Orinoquia, Pacífico, Valle del Magdalena;80 m;660 m;Antioquia, Cauca, Chocó, Meta, Tolima, Valle;
26;ACANTHACEAE;Thunbergia;Thunbergia alata;Sims;;Leonard 1951;;Trepadora;Naturalizada;No Evaluada;Cuatrecasas 14461 (COL, US);;Andes, Llanura del Caribe, Valle del Cauca;350 m;2600 m;Antioquia, Cesar, Cundinamarca, La Guajira, Meta, Quindío, Santander, Valle;"Nativa de África; cultivada como ornamental en los trópicos"
27;ACANTHACEAE;Thunbergia;Thunbergia fragrans;Roxb.;;Leonard 1951;;Trepadora;Cultivada y naturalizada;No Evaluada;Romero-Castañeda 2179 (COL);;Andes;8 m;1700 m;Antioquia, Bolívar, Boyacá, Cauca, Chocó, Cundinamarca, Nariño, Quindío, San Andrés, Providencia y Santa Catalina, Santander, Valle;"Nativa de India; cultivada como ornamental en los trópicos"
28;ACANTHACEAE;Thunbergia;Thunbergia mysorensis;(Wight) T.Anderson;;;;Trepadora;Cultivada;No Evaluada;;;Andes;1300 m;2100 m;Antioquia, Boyacá, Quindío;"Nativa de India; cultivada como ornamental en los trópicos"
29;ADOXACEAE;Viburnum;Viburnum antioquiense;Killip & A.C.Sm.;;Killip & Smith 1930;;Arbusto, Árbol, Trepadora;Nativa;No Evaluada;"Archer 568 (HT: US; IT: NY)";Tipo de Colombia;Andes;1700 m;3200 m;Antioquia, Cundinamarca, Quindío;
30;ADOXACEAE;Viburnum;Viburnum hallii;(Oerst.) Killip & A.C.Sm.;Viburnum apiculatum Killip & A.C.Sm.;Killip & Smith 1930;;Arbusto, Árbol, Trepadora;Nativa;No Evaluada;Betancur 7076 (COL, MO);;Andes, Sierra Nevada de Santa Marta;1300 m;3500 m;Antioquia, Boyacá, Cauca, Cesar, Cundinamarca, Huila, Magdalena, Nariño, Risaralda, Santander, Valle;Colombia a Bolivia
31;ADOXACEAE;Viburnum;Viburnum tinoides;L.f.;Viburnum leptophyllum Killip & A.C.Sm.;Killip & Smith 1929, Killip & Smith 1930, Rangel-Ch. 2000;Viburnum tinoides var. venezuelense (Killip & A.C.Sm.) Steyerm.;Arbusto, Arbolito, Árbol, Trepadora;Nativa;No Evaluada;Fernández 12115 (COL);;Andes;920 m;3724 m;Antioquia, Boyacá, Cundinamarca, La Guajira, Nariño, Quindío, Risaralda, Santander, Valle;Colombia, Venezuela
32;ALSTROEMERIACEAE;Bomarea;Bomarea andreana;Baker;;Gereau 1994;;Trepadora;Nativa;No Evaluada;Lozano 3564 (COL);Tipo de Colombia;Andes;1800 m;3200 m;Cauca, Huila, Nariño, Putumayo, Valle;Colombia a Centroamérica
33;ALSTROEMERIACEAE;Bomarea;Bomarea bredemeyerana;Herb.;;Alzate et al. 2008a, Alzate et al. 2008b;;Trepadora;Nativa;No Evaluada;Alzate 1273 (HUA);;Andes;1700 m;3200 m;Antioquia, Caldas, Cauca, Norte de Santander, Santander;Colombia, Venezuela, Centroamérica
34;ALSTROEMERIACEAE;Bomarea;Bomarea callejasiana;Alzate;;Alzate 2007, Alzate et al. 2008a;;Trepadora;Nativa;En Peligro;Franco 5147 (COL);Tipo de Colombia;Andes;1200 m;1600 m;Nariño;Colombia, Ecuador
35;ALSTROEMERIACEAE;Bomarea;Bomarea carderi;Mast.;Bomarea acuminata Baker, Bomarea shuttleworthii Mast.;Alzate et al. 2008a;;Trepadora;Nativa;No Evaluada;Stein 3205 (COL, MO);Tipo de Colombia;Andes;1500 m;3400 m;Antioquia, Boyacá, Caldas, Cauca, Chocó, Cundinamarca, Nariño, Norte de Santander, Quindío, Risaralda, Santander, Valle;Panamá a Ecuador
36;ALSTROEMERIACEAE;Bomarea;Bomarea caucana;Alzate;;Alzate 2005a, Alzate et al. 2008a;;Trepadora;Nativa;En Peligro;Serna 785 (CAUP);Tipo de Colombia;Andes;1500 m;3000 m;Cauca, Putumayo;
37;ALSTROEMERIACEAE;Bomarea;Bomarea colombiana;Alzate;;Alzate 2007;;Trepadora;Nativa;En Peligro;Barclay 6566 (HT: COL);Tipo de Colombia;Sierra Nevada de Santa Marta;1700 m;3500 m;Magdalena;
38;ALSTROEMERIACEAE;Bomarea;Bomarea diffracta;Baker;Bomarea kraenzlinii Baker;Alzate et al. 2008a;;Trepadora;Nativa;No Evaluada;Alzate 960 (HUA);Tipo de Colombia;Andes, Pacífico, Valle del Cauca, Valle del Magdalena;500 m;3300 m;Antioquia, Boyacá, Caldas, Cundinamarca, Norte de Santander, Quindío, Risaralda, Santander, Tolima, Valle;
39;ALSTROEMERIACEAE;Bomarea;Bomarea edulis;(Tussac) Herb.;Bomarea granatensis M.Roem., Bomarea multiflora Molfino, Bomarea rosea Molfino, Bomarea spectabilis Schenk;Garbiso & Estrada 2001;;Trepadora;Nativa;No Evaluada;Callejas 7155 (HUA, COAH);;Amazonia, Andes, Llanura del Caribe, Orinoquia, Pacífico, Sierra Nevada de Santa Marta, Valle del Magdalena;200 m;2900 m;Antioquia, Cesar, Cundinamarca, La Guajira, Magdalena, Meta, Quindío, Risaralda;México a Argentina
40;ALSTROEMERIACEAE;Bomarea;Bomarea euryantha;Alzate;;Alzate 2005a;;Trepadora;Nativa;En Peligro;Amaya 737 (COL);Tipo de Colombia;Andes;2000 m;2300 m;Cundinamarca;
41;ALSTROEMERIACEAE;Bomarea;Bomarea glaberrima;Pax;;Alzate et al. 2008a;;Trepadora;Nativa;No Evaluada;Pérez-Arbeláez 6218-A (COL);Tipo de Colombia;Andes;1800 m;3500 m;Cauca, Huila, Nariño, Risaralda, Tolima, Valle;
42;ALSTROEMERIACEAE;Bomarea;Bomarea hazenii;Killip;;Alzate et al. 2008a;;Trepadora;Nativa;No Evaluada;Killip 9174 (HT: US);Tipo de Colombia;Andes;2700 m;3700 m;Caldas, Quindío, Risaralda;
43;ALSTROEMERIACEAE;Bomarea;Bomarea hirsuta;(Kunth) Herb.;;Madriñán & Zapata 2001, Alzate et al. 2008b;;Trepadora;Nativa;Preocupación Menor;Bonpland 1788 (IT: P);Tipo de Colombia;Andes;1900 m;3800 m;Antioquia, Boyacá, Caldas, Cauca, Cundinamarca, Huila, Meta, Nariño, Putumayo, Quindío, Risaralda, Valle;México a Perú
44;ALSTROEMERIACEAE;Bomarea;Bomarea hispida;Baker;;Alzate et al. 2008a;;Trepadora;Nativa;No Evaluada;Schlim 486 (HT: G);Tipo de Colombia;Andes;2700 m;3500 m;Cauca, Chocó, Cundinamarca, Norte de Santander;
45;ALSTROEMERIACEAE;Bomarea;Bomarea lancifolia;Baker;;Alzate et al. 2008a;;Trepadora;Nativa;No Evaluada;Sarria 821 (CUVC);;Andes;2800 m;3600 m;Cauca, Valle;Colombia, Ecuador
46;ALSTROEMERIACEAE;Bomarea;Bomarea moritziana;Kunth;Bomarea longipes Kraenzl., Bomarea trichophylla Killip;Harling & Neuendorf 2003;;Trepadora;Nativa;No Evaluada;García-Barriga 20752 (COL);;Andes, Sierra Nevada de Santa Marta;1800 m;3500 m;Caquetá, Cundinamarca, Huila, Magdalena, Norte de Santander, Quindío, Santander, Tolima;N Andes
47;ALSTROEMERIACEAE;Bomarea;Bomarea multiflora;(L.f.) Mirb.;Bomarea ambigua Sodiro, Bomarea caldasii (Kunth) Asch. & Graebn., Bomarea halliana Herb., Bomarea microcephala Sodiro, Bomarea oligantha Baker, Bomarea rigidifolia Sodiro;Garbiso & Estrada 2001;;Trepadora;Nativa;No Evaluada;Betancur 3987 (COL);Tipo de Colombia;Andes, Sierra Nevada de Santa Marta;1700 m;3800 m;Antioquia, Boyacá, Caldas, Cauca, Cundinamarca, La Guajira, Huila, Nariño, Norte de Santander, Putumayo, Quindío, Santander, Tolima, Valle;N Andes
48;ALSTROEMERIACEAE;Bomarea;Bomarea obovata;Herb.;;Hofreiter & Rodriguez 2006;;Trepadora;Nativa;No Evaluada;Gentry 34858 (COL, MO);;Pacífico;50 m;300 m;Nariño;Centroamérica a NO Suramérica
49;ALSTROEMERIACEAE;Bomarea;Bomarea pardina;Herb.;;Harling & Neuendorf 2003, Hofreiter & Rodriguez 2006;;Trepadora;Nativa;No Evaluada;Schultes 3091 (COL);;Andes;1200 m;3400 m;Cauca, Nariño, Putumayo;Colombia, Ecuador, Perú
50;ALSTROEMERIACEAE;Bomarea;Bomarea patacocensis;Herb.;;Hofreiter & Rodriguez 2006;;Trepadora;Nativa;No Evaluada;Gentry 55306 (MO, PSO);;Andes;1000 m;2500 m;Nariño;Colombia, Ecuador
51;ALSTROEMERIACEAE;Bomarea;Bomarea patinii;Baker;Bomarea racemosa Killip;Harling & Neuendorf 2003, Alzate 2005b, Alzate et al. 2008b;Bomarea patinii subsp. umbellata Alzate;Trepadora;Nativa;No Evaluada;Alzate 1065 (HUA);Tipo de Colombia;Andes;1800 m;3300 m;Antioquia, Boyacá, Caldas, Cauca, Cundinamarca, Huila, Magdalena, Nariño, Putumayo, Quindío, Risaralda, Santander, Tolima, Valle;Venezuela a Perú
52;ALSTROEMERIACEAE;Bomarea;Bomarea pauciflora;(Kunth) Herb.;Bomarea holtonii Hochr., Bomarea stenopetala Baker;Garbiso & Estrada 2001;;Hierba, Trepadora;Nativa;No Evaluada;Bonpland s.n. (IT: P);Tipo de Colombia;Andes;2500 m;3800 m;Boyacá, Cundinamarca, Huila, Nariño, Norte de Santander, Quindío;Colombia, Venezuela
53;ALSTROEMERIACEAE;Bomarea;Bomarea puracensis;Alzate;;Alzate 2006, Alzate et al. 2008a;;Trepadora;Nativa;Vulnerable;García-Barriga 12854 (HT: COL);Tipo de Colombia;Andes;2300 m;3800 m;Boyacá, Caldas, Cauca, Nariño, Putumayo, Valle;
54;ALSTROEMERIACEAE;Bomarea;Bomarea setacea;(Ruiz & Pav.) Herb.;Bomarea crassifolia Baker, Bomarea purpurea (Ruiz & Pav.) Herb., Bomarea tomentosa (Ruiz & Pav.) Herb.;Hofreiter & Rodriguez 2006;;Trepadora;Nativa;No Evaluada;Zarucchi 4843 (HUA, MO);;Andes;1900 m;4000 m;Antioquia, Boyacá, Caldas, Cauca, Chocó, Cundinamarca, Huila, Meta, Nariño, Norte de Santander, Putumayo, Quindío, Risaralda, Santander, Tolima, Valle;Venezuela a Perú
55;ALSTROEMERIACEAE;Bomarea;Bomarea torta;(Kunth) Herb.;Bomarea cumbrensis Herb.;Alzate 2006;;Trepadora;Nativa;No Evaluada;Torres 1649 (COL);;Andes;2500 m;3700 m;Antioquia, Caldas, Risaralda, Tolima;Colombia a Perú
56;ALSTROEMERIACEAE;Bomarea;Bomarea vestita;Baker;;Alzate et al. 2008b;;Trepadora;Nativa;No Evaluada;Alzate 1280 (HUA);Tipo de Colombia;Andes;2500 m;3800 m;Antioquia, Caldas, Quindío, Risaralda, Valle;
57;ALSTROEMERIACEAE;Bomarea;Bomarea williamsiae;Mast.;;;;Trepadora;Nativa;No Evaluada;Alzate 1051 (HUA);;Andes, Pacífico;300 m;1400 m;Chocó, Risaralda;Cordillera Occidental
58;AMARANTHACEAE;Alternanthera;Alternanthera flavescens;Kunth;;Robertson 1981, Eliasson 1987, Agudelo 2008a;;Hierba, Trepadora;Nativa;No Evaluada;Agudelo 2903 (COL, HUQ);;Andes, Llanura del Caribe;0 m;2000 m;Atlántico, Bolívar, Cauca, La Guajira, Magdalena, Nariño, Norte de Santander;SE Estados Unidos a C Suramérica
59;AMARANTHACEAE;Alternanthera;Alternanthera lanceolata;(Benth.) Schinz;Alternanthera lehmannii Hieron., Alternanthera mexicana (Schltdl.) Hieron.;Duke 1961a, Eliasson 1987, Agudelo 2008a;;Hierba, Trepadora;Nativa;No Evaluada;"Hartweg 1365 (HT: W; IT: MO)";Tipo de Colombia;Amazonia, Andes, Llanura del Caribe, Pacífico;0 m;3500 m;Amazonas, Antioquia, Bolívar, Boyacá, Caldas, Cauca, Cundinamarca, Huila, Nariño, Putumayo, Quindío, Risaralda, Santander, Tolima;México a Bolivia
60;AMARANTHACEAE;Alternanthera;Alternanthera pubiflora;(Benth.) Kuntze;Alternanthera williamsii (Standl.) Standl.;Burger 1983a, Eliasson 1987, Agudelo 2008a;;Hierba, Trepadora;Nativa;No Evaluada;Zarucchi 3956 (JBGP);;Andes, Llanura del Caribe, Pacífico, Valle del Cauca;0 m;3000 m;Atlántico, Bolívar, Boyacá, Chocó, Cundinamarca, La Guajira, Nariño, Quindío, Valle;"Nicaragua a Bolivia; Jamaica"
61;AMARANTHACEAE;Chamissoa;Chamissoa altissima;(Jacq.) Kunth;;Sohmer 1977, Burger 1983a, Agudelo 2008a;;Trepadora;Nativa;No Evaluada;Agudelo 877 (COL, HUQ);;Amazonia, Andes, Guayana y Serranía de La Macarena, Llanura del Caribe, Orinoquia, Pacífico, Sierra Nevada de Santa Marta, Valle del Cauca, Valle del Magdalena;0 m;2500 m;Amazonas, Antioquia, Atlántico, Bolívar, Caquetá, Casanare, Cesar, Chocó, Cundinamarca, La Guajira, Guaviare, Huila, Magdalena, Meta, Norte de Santander, Putumayo, Quindío, Risaralda, Santander, Sucre, Tolima, Valle, Vichada;Neotrópico
62;AMARANTHACEAE;Hebanthe;Hebanthe grandiflora;(Hook.) Borsch & Pedersen;Pfaffia grandiflora (Hook.) R.E.Fr.;Borsch & Pedersen 1997, Stevens et al. 2001, Agudelo 2008a;;Trepadora;Nativa;No Evaluada;Betancur 1695 (COL);;Amazonia, Orinoquia;260 m;500 m;Caquetá, Meta;Nicaragua, Colombia, Ecuador, Bolivia
63;AMARANTHACEAE;Iresine;Iresine diffusa;Willd.;Iresine celosia L.;Eliasson 1987, Agudelo 2008a, Agudelo 2008c;;Trepadora;Nativa;No Evaluada;Agudelo 5086 (CUVC, HUQ);;Andes, Llanura del Caribe, Orinoquia, Valle del Cauca, Valle del Magdalena;0 m;3500 m;Antioquia, Atlántico, Bolívar, Boyacá, Caldas, Caquetá, Cauca, Cesar, Chocó, Cundinamarca, La Guajira, Huila, Magdalena, Meta, Nariño, Norte de Santander, Putumayo, Quindío, Risaralda, San Andrés, Providencia y Santa Catalina, Santander, Sucre, Tolima, Valle;Neotrópico
64;AMARANTHACEAE;Iresine;Iresine laxa;S.Watson;;Agudelo 2008c;;Trepadora;Nativa;No Evaluada;Macías 3706 (CAUP, HUQ);;Andes, Llanura del Caribe, Pacífico;6 m;2920 m;Atlántico, Bolívar, Cauca, Chocó;México, Colombia
65;AMARANTHACEAE;Iresine;Iresine pedicellata;Eliasson;;Eliasson 1987, Agudelo 2008b, Agudelo 2008c;;Trepadora;Nativa;No Evaluada;Alvear 367 (COL, FAUC);;Andes, Llanura del Caribe, Pacífico;40 m;2850 m;Boyacá, Caldas, Chocó, Cundinamarca, Magdalena, Nariño, Quindío, Risaralda, Valle;Colombia, Venezuela, Ecuador
66;AMARANTHACEAE;Iresine;Iresine sp. nov. 1;;;Agudelo 2008c;;Trepadora;Nativa;No Evaluada;Agudelo 5064 (HT: CUVC, IT: HUQ);Tipo de Colombia;Andes;2640 m;2900 m;Antioquia, Cauca, Cundinamarca, Nariño, Quindío;Colombia
67;AMARANTHACEAE;Iresine;Iresine sp. nov. 2;;;Agudelo 2008c;;Trepadora;Nativa;No Evaluada;Haught 5919 (HT: COL);Tipo de Colombia;Andes;2600 m;2800 m;Cundinamarca;Colombia
68;AMARANTHACEAE;Iresine;Iresine sp. nov. 4;;;Agudelo 2008c;;Trepadora;Nativa;Vulnerable;Agudelo 5146 (HT: CUVC, IT: HUQ);Tipo de Colombia;Andes;1900 m;2200 m;Quindío, Risaralda;Colombia
69;AMARANTHACEAE;Pfaffia;Pfaffia aurata;(Mart.) Borsch;Pfaffia paniculata (Mart.) Kuntze;Eliasson 1987, Borsch 1995, Agudelo 2008a;;Trepadora;Nativa;No Evaluada;Haught 3997 (COL);;Andes, Llanura del Caribe, Valle del Cauca, Valle del Magdalena;50 m;1800 m;Atlántico, Bolívar, Boyacá, Cauca, Cundinamarca, Magdalena, Valle;"Centroamérica a Perú y Brasil; Antillas"
70;AMARANTHACEAE;Pfaffia;Pfaffia miraflorensis;Agudelo & P.Franco;;Agudelo 2008a;;Trepadora;Nativa;No Evaluada;Agudelo 2885 (HT: COL, IT: HUQ);Tipo de Colombia;Andes;1000 m;2300 m;Cundinamarca, Nariño, Norte de Santander;Colombia
71;AMARANTHACEAE;Pfaffia;Pfaffia tayronensis;Agudelo;;Agudelo 2008a;;Trepadora;Nativa;No Evaluada;Agudelo 2899 (HT: COL, IT: HUQ);Tipo de Colombia;Llanura del Caribe;10 m;860 m;La Guajira, Magdalena;Colombia
72;ANNONACEAE;Annona;Annona ambotay;Aubl.;;;;Arbusto, Árbol, Trepadora;Nativa;No Evaluada;Ramírez 15504 (COL);;Amazonia;100 m;850 m;Amazonas, Caquetá, Cauca, Guaviare, Putumayo, Vaupés;Amazonia
73;ANNONACEAE;Annona;Annona hypoglauca;Mart.;;Murillo-A. 2001;;Arbusto, Trepadora;Nativa;No Evaluada;Murillo 576 (COAH COL);;Amazonia;100 m;300 m;Amazonas, Caquetá, Putumayo, Vichada;Amazonia
74;ANNONACEAE;Annona;Annona scandens;Pilg.;;Murillo-A. 2001;;Trepadora;Nativa;No Evaluada;Murillo 657 (COL);;Amazonia;200 m;300 m;Caquetá, Vaupés;Colombia, Perú
75;APOCYNACEAE;Allamanda;Allamanda cathartica;L.;;Sakane & Shepherd 1986, Rangel-Ch. 2009;;Subarbusto, Arbusto, Trepadora;Nativa y cultivada;No Evaluada;Haugth 4191 (MO);;Amazonia, Andes, Islas Caribeñas, Llanura del Caribe, Orinoquia, Pacífico, Valle del Cauca, Valle del Magdalena;0 m;1900 m;Amazonas, Antioquia, Atlántico, Caldas, Casanare, Cauca, Chocó, Cundinamarca, Magdalena, Meta, San Andrés, Providencia y Santa Catalina, Santander, Valle, Vaupés;"Neotrópico; cultivada alrededor del mundo"
76;APOCYNACEAE;Allomarkgrafia;Allomarkgrafia foreroi;A.H.Gentry;;Gentry 1980, Morales, J. 1997c;;Trepadora;Nativa;No Evaluada;"Forero 5854 (HT: COL; IT: HUA, INB, MA, MO)";Tipo de Colombia;Amazonia, Pacífico;150 m;350 m;Antioquia, Chocó, Meta;Colombia, Ecuador
77;APOCYNACEAE;Allomarkgrafia;Allomarkgrafia laxiflora;A.H.Gentry;;Gentry 1989, Morales, J. 1997c;;Trepadora;Nativa;No Evaluada;"Gentry 34939 (HT: COL; IT: COL, MO, TULV)";Tipo de Colombia;Andes, Pacífico;100 m;900 m;Nariño, Valle;Colombia, Ecuador
78;APOCYNACEAE;Allomarkgrafia;Allomarkgrafia plumeriiflora;Woodson;;Woodson 1933, Morales, J. 1997c, Gentry 2001;;Trepadora, Liana;Nativa;No Evaluada;Gentry 48251 (MO);Tipo de Colombia;Pacífico, Valle del Cauca, Valle del Magdalena;100 m;1200 m;Antioquia, Boyacá, Chocó, Nariño, Risaralda, Valle;Colombia a S Nicaragua
79;APOCYNACEAE;Anechites;Anechites nerium;(Aubl.) Urb.;;Fallen 1983a, Morales 2005e;;Trepadora;Nativa;No Evaluada;Callejas 5010 (HUA);;Andes, Pacífico;45 m;600 m;Antioquia, Chocó, La Guajira;"Nicaragua a Ecuador; Antillas"
80;APOCYNACEAE;Blepharodon;Blepharodon amazonicum;(Benth.) Fontella & Marquete;Peplonia amazonica Benth.;;;Trepadora;Nativa;No Evaluada;Romero-Castañeda 3653 (COL);;Guayana y Serranía de La Macarena;0 m;100 m;Vaupés;Colombia, Ecuador, Brasil
81;APOCYNACEAE;Blepharodon;Blepharodon colombianum;Morillo;;Morillo 1978b;;Trepadora;Nativa;No Evaluada;Holton 457 (K, NY);Tipo de Colombia;Valle del Magdalena;500 m;500 m;Cauca, Magdalena;
82;APOCYNACEAE;Blepharodon;Blepharodon cuatrecasasii;Morillo;;Morillo 1978b;;Trepadora;Nativa;No Evaluada;Smith 2089 (F, GH, K, NY, US);Tipo de Colombia;Andes, Sierra Nevada de Santa Marta;1350 m;1650 m;La Guajira, Magdalena, Norte de Santander;
83;APOCYNACEAE;Blepharodon;Blepharodon glaucescens;(Decne.) Fontella;;Morillo 1997a;;Trepadora;Nativa;No Evaluada;García-Barriga 4658 (COL, US);;Andes, Guayana y Serranía de La Macarena, Orinoquia;100 m;1500 m;Caquetá, Guaviare, Putumayo, Vichada;Colombia, Venezuela, Guyana, Brasil
