id;familia;genero;nombre;autor;sinonimos;referencias;taxones_infraespecificos;habito;origen;estado_de_conservacion;especimen_representativo;notas;regiones_biogeograficas;elevacion_minima;elevacion_maxima;departamentos;distribucion_global
1;ACANTHACEAE;Dicliptera;Dicliptera scandens;Leonard;Dicliptera bogotensis Leonard, Dicliptera danielii Leonard, Dicliptera ewanii Leonard, Dicliptera hazenii Leonard, Dicliptera inamoena Leonard, Dicliptera sciaphila Leonard, Dicliptera uribei Leonard;Leonard 1958, Wood 1988;;Subarbusto, Trepadora;Nativa;No Evaluada;Wood 5355 (COL, FMB, K);Tipo de Colombia;Andes;1700 m;2500 m;Antioquia, Cundinamarca, Nariño, Quindío, Risaralda;
2;ACANTHACEAE;Justicia;Justicia chaetocephala;(Mildbr.) Leonard;Beloperone chaetocephala Mildbr.;Mildbraed 1930, Leonard 1958;;Subarbusto, Arbusto, Trepadora;Nativa;No Evaluada;Romero-Castañeda 11207 (COL);Tipo de Colombia;Llanura del Caribe, Sierra Nevada de Santa Marta;300 m;1350 m;Bolívar, Magdalena, Sucre;
3;ACANTHACEAE;Justicia;Justicia kirkbridei;Wassh.;;Wasshausen 1989a;;Trepadora;Nativa;No Evaluada;Kirkbride 2239 (US);Conocida solo del tipo;Sierra Nevada de Santa Marta;1800 m;1800 m;Magdalena;
4;ACANTHACEAE;Justicia;Justicia scansilis;(Rizzini) V.A.W.Graham;Aphelandra nervosa T.Anderson;;;Hierba, Subarbusto, Trepadora;Nativa;No Evaluada;Idrobo 8015 (COL);;Amazonia;250 m;250 m;Amazonas;Brasil, Colombia
5;ACANTHACEAE;Mendoncia;Mendoncia antioquiensis;Wassh.;;Wasshausen 1989b;;Trepadora, Liana;Nativa;No Evaluada;Brand 142 (HT: MO);Tipo de Colombia;Andes, Pacífico;80 m;1700 m;Antioquia;
6;ACANTHACEAE;Mendoncia;Mendoncia aspera;Ruiz & Pav.;;Leonard 1951;;Trepadora, Liana;Nativa;No Evaluada;Klug 1760 (GH, MO, NY, US);;Amazonia, Pacífico;200 m;325 m;Caquetá, Chocó, Putumayo;Colombia a Brasil y Bolivia
7;ACANTHACEAE;Mendoncia;Mendoncia bivalvis;(L.f.) Merr.;Mendoncia hirsuta Nees;Leonard 1951, Leonard 1958;;Trepadora;Nativa;No Evaluada;Rudas 1556 (COL, MO);;Amazonia, Andes, Valle del Magdalena;60 m;1660 m;Amazonas, Antioquia, Magdalena, Putumayo, Vichada;Colombia y Guayanas a Bolivia
8;ACANTHACEAE;Mendoncia;Mendoncia caquetensis;Leonard;;Leonard 1961;;Trepadora;Nativa;No Evaluada;von Sneidern A1008 (S);Conocida solo del tipo;Amazonia;100 m;100 m;Caquetá;
9;ACANTHACEAE;Mendoncia;Mendoncia coccinea;Vell.;;Turrill 1919, Leonard 1951;Mendoncia coccinea var. coccinea , Mendoncia coccinea var. elliptica Turrill, Mendoncia coccinea var. sparatteria (Nees) Turrill;Trepadora;Nativa;No Evaluada;Cuatrecasas 8859 (COL);;Amazonia, Orinoquia;370 m;500 m;Caquetá, Meta, Norte de Santander;Amazonia de Colombia y Brasil
10;ACANTHACEAE;Mendoncia;Mendoncia cuatrecasasii;Leonard;;Leonard 1951;;Trepadora;Nativa;No Evaluada;"Cuatrecasas 11134 (HT: COL; ISO: US)";Conocida solo del tipo;Amazonia;290 m;290 m;Putumayo;Colombia, prob. Ecuador
