id;familia;genero;nombre;autor;sinonimos;referencias;taxones_infraespecificos;habito;origen;estado_de_conservacion;especimen_representativo;notas;regiones_biogeograficas;elevacion_minima;elevacion_maxima;departamentos;distribucion_global
120;ARECACEAE;Syagrus;Syagrus orinocensis;(Spruce) Burret;Syagrus allenii Glassman;Glassman 1987, Henderson 1995, Henderson et al. 1995;;Árbol, Palma solitaria;Nativa;Preocupación Menor;Galeano 1322 (COAH, COL);;Guayana y Serranía de La Macarena, Orinoquia;40 m;600 m;Amazonas, Caquetá, Casanare, Guainía, Guaviare, Meta, Vaupés, Vichada;E Colombia y O Venezuela
121;ARECACEAE;Syagrus;Syagrus romanzoffiana;(Cham.) Glassman;;Glassman 1987, Morales et al. 2000, Galeano & Bernal 2010;;Árbol, Palma solitaria;Cultivada;No Evaluada;;;;0 m;2600 m;Antioquia, Cundinamarca;"S Brasil a NE Argentina; cultivada en los trópicos y subtrópicos"
122;ARECACEAE;Syagrus;Syagrus sancona;(Kunth) H.Karst.;;Glassman 1987, Henderson et al. 1995, Galeano & Bernal 2005;;Árbol, Palma solitaria;Nativa y cultivada;Vulnerable;Bernal 1359 (COL);Tipo de Colombia;Amazonia, Andes, Guayana y Serranía de La Macarena, Orinoquia, Pacífico, Valle del Magdalena;200 m;1200 m;Antioquia, Arauca, Caquetá, Casanare, Cundinamarca, Meta, Norte de Santander, Putumayo, Quindío, Risaralda, Tolima, Valle;Andes y tierras bajas aledañas, de Venezuela a Bolivia y O Brasil
123;ARECACEAE;Syagrus;Syagrus smithii;(H.E.Moore) Glassman;;Galeano & Bernal 2010;;Arbusto, Palma solitaria;Nativa;Preocupación Menor;Galeano 1669 (COAH, COL, NY, HUA);;Amazonia;100 m;250 m;Amazonas;O Amazonia en Colombia, Perú y Brasil
124;ARECACEAE;Thrinax;Thrinax parviflora;Sw.;;Morales et al. 2000, Galeano & Bernal 2010;;Árbol, Palma solitaria;Cultivada;No Evaluada;;;;0 m;1500 m;Antioquia, Cundinamarca, San Andrés, Providencia y Santa Catalina;"Jamaica; cultivada en los trópicos"
125;ARECACEAE;Trachycarpus;Trachycarpus fortunei;(Hook.) H.Wendl.;;Morales et al. 2000, Galeano & Bernal 2010;;Árbol, Palma solitaria;Cultivada;No Evaluada;;;;1500 m;1800 m;Antioquia;"Myanmar a C China; cultivada en los trópicos y subtrópicos"
126;ARECACEAE;Washingtonia;Washingtonia filifera;(André) de Bary;;Morales et al. 2000, Galeano & Bernal 2010;;Árbol, Palma solitaria;Cultivada;No Evaluada;;;;0 m;2600 m;Antioquia, Boyacá, Cundinamarca, Tolima, Valle;"California y Baja California; cultivada en los trópicos y subtrópicos"
127;ARECACEAE;Washingtonia;Washingtonia robusta;H.Wendl.;;Morales et al. 2000, Galeano & Bernal 2010;;Árbol, Palma solitaria;Cultivada;No Evaluada;;;;0 m;2600 m;Antioquia, Boyacá, Cundinamarca, Tolima, Valle;"Baja California y Sonora (México); cultivada en los trópicos y subtrópicos"
128;ARECACEAE;Welfia;Welfia regia;H.Wendl.;Welfia georgii H.Wendl.;Galeano & Bernal 1987, Henderson et al. 1995, Galeano & Bernal 2010;;Árbol, Palma solitaria;Nativa;Preocupación Menor;Bernal 691 (COL);Tipo de Colombia;Andes, Pacífico, Valle del Magdalena;0 m;1200 m;Antioquia, Boyacá, Cauca, Chocó, Nariño, Risaralda, Santander, Valle;Honduras a O Ecuador
129;ARECACEAE;Wettinia;Wettinia aequalis;(O.F.Cook & Doyle) R.Bernal;Catoblastus aequalis (O.F.Cook & Doyle) Burret, Catostigma aequale (O.F.Cook & Doyle) Burret;Bernal 1995, Henderson et al. 1995, Galeano & Bernal 2010;;Arbusto, Árbol, Palma solitaria;Nativa;Preocupación Menor;Bernal 1020 (COL);Tipo de Colombia;Andes, Pacífico;0 m;800 m;Antioquia, Cauca, Chocó, Nariño, Risaralda, Valle;C Panamá a O Ecuador
130;ARECACEAE;Wettinia;Wettinia anomala;(Burret) R.Bernal;Catoblastus anomalus (Burret) Burret, Catostigma anomalum Burret;Bernal 1995, Henderson et al. 1995, Galeano & Bernal 2010;;Árbol, Palma solitaria;Nativa;Preocupación Menor;Bernal 1417 (COL);Tipo de Colombia;Andes;900 m;1700 m;Caquetá, Cauca, Putumayo;SE Colombia a NE Ecuador
131;ARECACEAE;Wettinia;Wettinia castanea;H.E.Moore & J.Dransf.;;Moore & Dransfield 1978, Galeano & Bernal 1987, Henderson et al. 1995;;Árbol, Palma solitaria;Nativa;Casi Amenazada;"Moore 10311 (HT: BH; IT: COL, K)";Tipo de Colombia;Andes;1300 m;1800 m;Antioquia, Cauca, Chocó, Risaralda, Valle;Cordillera Occidental
132;ARECACEAE;Wettinia;Wettinia disticha;(R.Bernal) R.Bernal;Catoblastus distichus R.Bernal;Bernal 1986b, Galeano & Bernal 1987, Bernal 1995, Henderson et al. 1995, Galeano & Bernal 2010;;Árbol, Palma solitaria;Nativa;Preocupación Menor;"Restrepo 144 (HT: COL; IT: MEDEL)";Tipo de Colombia;Andes;1700 m;2250 m;Antioquia, Cauca, Chocó, Risaralda, Valle;Cordillera Occidental
133;ARECACEAE;Wettinia;Wettinia kalbreyeri;(Burret) R.Bernal;Catoblastus kalbreyeri (Burret) Burret, Catoblastus megalocarpus (Burret) Burret, Catoblastus microcaryus (Burret) Burret, Catoblastus sphaerocarpus (Burret) Burret, Catostigma inconstans Dugand, Catostigma kalbreyeri Burret, Catostigma megalocarpum Burret, Catostigma microcaryum (Burret) Burret, Catostigma sphaerocarpum Burret, Catostigma sphaerocarpum var. microcaryum Burret;Galeano & Bernal 1987, Bernal 1995, Henderson et al. 1995;;Árbol, Palma solitaria;Nativa;Preocupación Menor;"Bernal 1397 (NT: COL; INT: AAU, BH, HUA, K, NY)";Tipo de Colombia;Andes;400 m;2500 m;Antioquia, Caldas, Caquetá, Cauca, Chocó, Huila, Nariño, Putumayo, Quindío, Risaralda, Valle;Andes de Colombia a N Ecuador
134;ARECACEAE;Wettinia;Wettinia lanata;R.Bernal;;Bernal 1995, Henderson et al. 1995, Galeano & Bernal 2010;;Árbol, Palma solitaria;Nativa;Casi Amenazada;"Bernal 1434 (HT: COL; IT: FMB, HUA, K, NY)";Tipo de Colombia;Andes;2100 m;2600 m;Cauca, Chocó, Valle;Cordillera Occidental
135;ARECACEAE;Wettinia;Wettinia maynensis;Spruce;;Henderson et al. 1995, Galeano & Bernal 2010;;Árbol, Palma solitaria;Nativa;Preocupación Menor;Bernal 2486 (COL);;Amazonia, Andes;200 m;1200 m;Caquetá, Cauca, Putumayo;Andes y tierras bajas aledañas, de Colombia a Perú
136;ARECACEAE;Wettinia;Wettinia microcarpa;(Burret) R.Bernal;Catoblastus microcarpus Burret;Henderson et al. 1995, Galeano & Bernal 2005, Galeano & Bernal 2010;;Árbol, Palma solitaria;Nativa;Vulnerable;"Bernal 1367 (NT: COL; INT: AAU, BH, FTG, HUA, K, NY)";Tipo de Colombia;Andes;1800 m;2300 m;Norte de Santander, Santander;Cordillera Oriental
137;ARECACEAE;Wettinia;Wettinia oxycarpa;Galeano-Garcés & R.Bernal;;Galeano & Bernal 1983, Henderson et al. 1995, Galeano & Bernal 2010;;Árbol, Palma solitaria;Nativa;Casi Amenazada;"Bernal 87 (HT: COL; IT: HUA)";Tipo de Colombia;Andes, Pacífico;400 m;1300 m;Antioquia, Chocó, Nariño, Valle;O Colombia a NO Ecuador
138;ARECACEAE;Wettinia;Wettinia quinaria;(O.F.Cook & Doyle) Burret;;Galeano & Bernal 1987, Henderson et al. 1995, Galeano & Bernal 2010;;Árbol, Palma solitaria;Nativa;Preocupación Menor;Bernal 254 (COL, HUA);Tipo de Colombia;Andes, Pacífico;0 m;1100 m;Antioquia, Cauca, Chocó, Nariño, Risaralda, Valle;Panamá a NO Ecuador
139;ARECACEAE;Wettinia;Wettinia verruculosa;H.E.Moore;;Henderson et al. 1995, Galeano & Bernal 2010;;Árbol, Palma solitaria;Nativa;Casi Amenazada;Bernal 2500 (COL);;Andes;1200 m;1700 m;Nariño;SO Colombia a NO Ecuador
140;ARECACEAE;Wodyetia;Wodyetia bifurcata;A.K.Irvine;;Morales et al. 2000, Galeano & Bernal 2010;;Árbol, Palma solitaria;Cultivada;No Evaluada;;;;1500 m;1600 m;Antioquia;"NE Australia; cultivada en los trópicos"
